Date,Close,Open,High,Low,Volume
1/4/21, R$ 6.69 , R$ 7.30 , R$ 7.37 , R$ 6.63 ,"14,584,900"
1/5/21, R$ 7.10 , R$ 6.64 , R$ 7.12 , R$ 6.32 ,"12,558,300"
1/6/21, R$ 7.24 , R$ 7.16 , R$ 7.39 , R$ 7.05 ,"9,855,600"
1/7/21, R$ 7.43 , R$ 7.35 , R$ 7.65 , R$ 7.27 ,"8,524,800"
1/8/21, R$ 7.34 , R$ 7.51 , R$ 7.58 , R$ 7.13 ,"5,639,600"
1/11/21, R$ 7.41 , R$ 7.25 , R$ 7.59 , R$ 7.01 ,"6,349,700"
1/12/21, R$ 7.44 , R$ 7.48 , R$ 7.63 , R$ 7.27 ,"4,753,000"
1/13/21, R$ 7.59 , R$ 7.48 , R$ 8.00 , R$ 7.45 ,"12,970,500"
1/14/21, R$ 8.85 , R$ 7.75 , R$ 9.00 , R$ 7.60 ,"19,959,800"
1/15/21, R$ 9.51 , R$ 8.73 , R$ 9.92 , R$ 8.61 ,"22,171,500"
1/18/21, R$ 11.00 , R$ 10.00 , R$ 11.00 , R$ 9.73 ,"21,003,900"
1/19/21, R$ 11.41 , R$ 11.27 , R$ 11.88 , R$ 10.22 ,"42,974,500"
1/20/21, R$ 11.51 , R$ 11.45 , R$ 11.84 , R$ 10.90 ,"20,503,800"
1/21/21, R$ 11.73 , R$ 11.28 , R$ 12.38 , R$ 11.20 ,"21,435,100"
1/22/21, R$ 11.59 , R$ 11.51 , R$ 12.15 , R$ 11.28 ,"15,220,300"
1/26/21, R$ 9.89 , R$ 12.01 , R$ 12.10 , R$ 9.89 ,"18,313,600"
1/27/21, R$ 8.43 , R$ 9.52 , R$ 9.92 , R$ 8.43 ,"33,019,400"
1/28/21, R$ 8.68 , R$ 8.65 , R$ 9.11 , R$ 8.23 ,"18,932,600"
1/29/21, R$ 9.04 , R$ 8.51 , R$ 9.35 , R$ 8.34 ,"18,116,200"
2/1/21, R$ 9.36 , R$ 9.45 , R$ 9.55 , R$ 9.00 ,"8,795,700"
2/2/21, R$ 9.30 , R$ 9.41 , R$ 9.60 , R$ 9.28 ,"7,265,300"
2/3/21, R$ 8.87 , R$ 9.28 , R$ 9.28 , R$ 8.83 ,"12,489,600"
2/4/21, R$ 8.72 , R$ 8.88 , R$ 9.19 , R$ 8.65 ,"10,389,800"
2/5/21, R$ 8.53 , R$ 8.82 , R$ 8.95 , R$ 8.37 ,"8,449,200"
2/8/21, R$ 7.99 , R$ 8.57 , R$ 8.62 , R$ 7.90 ,"10,968,300"
2/9/21, R$ 9.25 , R$ 7.88 , R$ 9.25 , R$ 7.65 ,"24,243,900"
2/10/21, R$ 8.65 , R$ 9.42 , R$ 9.68 , R$ 8.51 ,"23,464,600"
2/11/21, R$ 8.46 , R$ 8.80 , R$ 8.90 , R$ 8.28 ,"9,947,100"
2/12/21, R$ 8.35 , R$ 8.30 , R$ 8.45 , R$ 8.12 ,"5,702,200"
2/17/21, R$ 8.28 , R$ 8.36 , R$ 8.59 , R$ 8.20 ,"3,443,500"
2/18/21, R$ 7.83 , R$ 8.31 , R$ 8.36 , R$ 7.83 ,"5,741,000"
2/19/21, R$ 7.83 , R$ 7.81 , R$ 8.08 , R$ 7.73 ,"4,677,700"
2/22/21, R$ 7.20 , R$ 7.65 , R$ 7.65 , R$ 7.20 ,"7,191,600"
2/23/21, R$ 8.09 , R$ 7.42 , R$ 8.12 , R$ 7.41 ,"8,498,100"
2/24/21, R$ 8.56 , R$ 8.15 , R$ 8.62 , R$ 7.82 ,"10,242,500"
2/25/21, R$ 8.19 , R$ 8.56 , R$ 8.85 , R$ 8.03 ,"8,946,700"
2/26/21, R$ 8.80 , R$ 8.31 , R$ 8.80 , R$ 8.21 ,"14,204,200"
3/1/21, R$ 9.03 , R$ 9.02 , R$ 9.32 , R$ 8.84 ,"14,796,600"
3/2/21, R$ 9.03 , R$ 8.83 , R$ 9.15 , R$ 8.67 ,"6,992,900"
3/3/21, R$ 8.76 , R$ 8.91 , R$ 9.09 , R$ 8.27 ,"6,571,600"
3/4/21, R$ 8.45 , R$ 8.88 , R$ 9.03 , R$ 8.40 ,"4,176,400"
3/5/21, R$ 8.10 , R$ 8.56 , R$ 8.56 , R$ 8.01 ,"5,408,200"
3/8/21, R$ 7.73 , R$ 7.99 , R$ 8.30 , R$ 7.54 ,"6,097,100"
3/9/21, R$ 7.86 , R$ 7.83 , R$ 8.14 , R$ 7.57 ,"4,499,800"
3/10/21, R$ 7.90 , R$ 7.92 , R$ 8.20 , R$ 7.82 ,"3,579,100"
3/11/21, R$ 8.01 , R$ 8.01 , R$ 8.09 , R$ 7.91 ,"2,471,900"
3/12/21, R$ 8.05 , R$ 7.95 , R$ 8.29 , R$ 7.90 ,"2,981,500"
3/15/21, R$ 8.00 , R$ 8.03 , R$ 8.18 , R$ 8.00 ,"1,720,900"
3/16/21, R$ 8.18 , R$ 8.07 , R$ 8.52 , R$ 8.02 ,"4,991,700"
3/17/21, R$ 8.23 , R$ 8.15 , R$ 8.34 , R$ 8.09 ,"1,933,000"
3/18/21, R$ 7.97 , R$ 8.20 , R$ 8.30 , R$ 7.86 ,"2,519,000"
3/19/21, R$ 7.96 , R$ 8.02 , R$ 8.09 , R$ 7.90 ,"1,942,100"
3/22/21, R$ 7.99 , R$ 8.12 , R$ 8.27 , R$ 7.98 ,"2,074,400"
3/23/21, R$ 7.97 , R$ 8.02 , R$ 8.05 , R$ 7.95 ,"1,282,200"
3/24/21, R$ 7.79 , R$ 8.05 , R$ 8.05 , R$ 7.66 ,"1,763,700"
3/25/21, R$ 7.80 , R$ 7.80 , R$ 7.90 , R$ 7.65 ,"1,693,300"
3/26/21, R$ 7.87 , R$ 7.82 , R$ 8.00 , R$ 7.57 ,"1,568,600"
3/29/21, R$ 7.73 , R$ 7.90 , R$ 7.99 , R$ 7.66 ,"1,784,000"
3/30/21, R$ 7.75 , R$ 7.84 , R$ 8.08 , R$ 7.73 ,"4,029,200"
3/31/21, R$ 7.62 , R$ 7.80 , R$ 7.83 , R$ 7.45 ,"3,775,200"
4/1/21, R$ 7.52 , R$ 7.61 , R$ 7.64 , R$ 7.49 ,"2,208,500"
4/5/21, R$ 7.47 , R$ 7.59 , R$ 7.64 , R$ 7.31 ,"3,315,600"
4/6/21, R$ 7.35 , R$ 7.46 , R$ 7.52 , R$ 7.35 ,"2,402,800"
4/7/21, R$ 7.29 , R$ 7.34 , R$ 7.41 , R$ 7.25 ,"2,295,500"
4/8/21, R$ 7.66 , R$ 7.30 , R$ 7.68 , R$ 7.28 ,"3,481,400"
4/9/21, R$ 7.80 , R$ 7.59 , R$ 7.94 , R$ 7.55 ,"4,069,900"
4/12/21, R$ 7.92 , R$ 7.80 , R$ 7.93 , R$ 7.64 ,"1,770,200"
4/13/21, R$ 7.90 , R$ 7.88 , R$ 8.19 , R$ 7.83 ,"3,485,200"
4/14/21, R$ 7.64 , R$ 7.99 , R$ 8.05 , R$ 7.61 ,"3,180,700"
4/15/21, R$ 7.48 , R$ 7.73 , R$ 7.77 , R$ 7.47 ,"2,523,200"
4/16/21, R$ 7.51 , R$ 7.48 , R$ 7.59 , R$ 7.42 ,"1,892,500"
4/19/21, R$ 7.53 , R$ 7.50 , R$ 7.69 , R$ 7.47 ,"1,564,000"
4/20/21, R$ 7.15 , R$ 7.51 , R$ 7.59 , R$ 7.11 ,"8,773,000"
4/22/21, R$ 7.06 , R$ 7.21 , R$ 7.23 , R$ 7.02 ,"3,015,400"
4/23/21, R$ 7.20 , R$ 7.05 , R$ 7.25 , R$ 7.05 ,"2,048,000"
